PH4,PS,757419,AR4120X01XX_D8M,DIAL,20000
PH4,PS,757419,AR4120X01XX_D8M,DIAL,20000
PH4,PS,1460631,PC0090HSMH_DBB14,DIAL,78230
PH4,PS,01884FB,74VHC157_LBB3006T,DIAL,3180
PH4,PS,1453303G,SG0139CSMH_DBB11,DIAL,5369
PH4,PS,1FC5714G,SG0139ASMH_DBB11,DIAL,4201
PH4,PS,1FD3916G,SG0111BSMH_DBB11,DIAL,5293
PH4,PS,1FD7161,SG0090FSMH_DBB14,DIAL,38915
PH4,PS,1FD7162,SG0090FSMH_DBB14,DIAL,95239
PH4,PS,1FD7512,SG0090FSMH_DBB14,DIAL,113660
PH4,PS,1FD785G,SG0139ASMH_DBB11,DIAL,140121
PH4,PS,1FD7862G,SG0139ASMH_DBB11,DIAL,16682
PH4,PS,1FD8264,SG0157ASMH_DBB14,DIAL,5204
PH4,PS,1FD9842,SG0090FSMH_DBB14,DIAL,78192
PH4,PS,1FD9852,SG0090FSMH_DBB14,DIAL,16654
PH4,PS,1FE0523,SG0157ASMH_DBB14,DIAL,11088
PH4,PS,1FE0533,SG0157ASMH_DBB14,DIAL,10868
PH4,PS,1FE2532,SG0090FSMH_DBB14,DIAL,84064
PH4,PS,1FE254,SG0090FSMH_DBB14,DIAL,130045
PH4,PS,1FE2572G,SG0139ASMH_DBB11,DIAL,16771
PH4,PS,1FE2573G,SG0139ASMH_DBB11,DIAL,11128
PH4,PS,1FE2831G,SG0139BSMH_DBB11,DIAL,55707
PH4,PS,1FE2832G,SG0139BSMH_DBB11,DIAL,27750
PH4,PS,1FE2833G,SG0139BSMH_DBB11,DIAL,5539
PH4,PS,1FE2851G,SG0139CSMH_DBB11,DIAL,11006
PH4,PS,1FE2852G,SG0139CSMH_DBB11,DIAL,54566
PH4,PS,1FE433A1G,SG0090BSMH_DBB11,DIAL,5315
PH4,PS,1FE4444,SG0090FSMH_DBB14,DIAL,99122
PH4,PS,1FE445G,SG0139ASMH_DBB11,DIAL,139813
PH4,PS,1FE485R13G,SG0139BSMH_DBB11,DIAL,5526
PH4,PS,1FE4861G,SG0139CSMH_DBB11,DIAL,23455
PH4,PS,1FE4862G,SG0139CSMH_DBB11,DIAL,5622
PH4,PS,1FF4531G,SG0140ASMH_DBB11,DIAL,16723
