PH4,PS,NORMAL,AP4450022N,DNP015,DIAL,44
PH4,PS,NORMAL,AP4450024N,DNP015,DIAL,600
PH4,PS,NORMAL,R000005295,74LCX244MTCX,DIAL,2500
PH4,PS,NORMAL,R000005296,74VCX163245MTDX,DIAL,611
PH4,PS,NORMAL,R000005297,74VCX163245MTDX,DIAL,72
PH4,PS,NORMAL,757419,AR4120X01XX_D8M,DIAL,60000
PH4,PS,NORMAL,757419,AR4120X01XX_D8M,DIAL,60000
PH4,PS,NORMAL,01884FB,74VHC157_LBB3006T,DIAL,19080
PH4,PS,NORMAL,1453303G,SG0139CSMH_DBB11,DIAL,5369
PH4,PS,NORMAL,1460631,PC0090HSMH_DBB14,DIAL,78230
PH4,PS,NORMAL,1FC5714G,SG0139ASMH_DBB11,DIAL,4201
PH4,PS,NORMAL,1FD3916G,SG0111BSMH_DBB11,DIAL,10586
PH4,PS,NORMAL,1FD7161,SG0090FSMH_DBB14,DIAL,38915
PH4,PS,NORMAL,1FD7162,SG0090FSMH_DBB14,DIAL,95239
PH4,PS,NORMAL,1FD7512,SG0090FSMH_DBB14,DIAL,113660
PH4,PS,NORMAL,1FD785G,SG0139ASMH_DBB11,DIAL,140121
PH4,PS,NORMAL,1FD7862G,SG0139ASMH_DBB11,DIAL,16682
PH4,PS,NORMAL,1FD8264,SG0157ASMH_DBB14,DIAL,5204
PH4,PS,NORMAL,1FD9842,SG0090FSMH_DBB14,DIAL,78192
PH4,PS,NORMAL,1FD9852,SG0090FSMH_DBB14,DIAL,16654
PH4,PS,NORMAL,1FE0523,SG0157ASMH_DBB14,DIAL,11088
PH4,PS,NORMAL,1FE0533,SG0157ASMH_DBB14,DIAL,10868
PH4,PS,NORMAL,1FE2532,SG0090FSMH_DBB14,DIAL,84064
PH4,PS,NORMAL,1FE254,SG0090FSMH_DBB14,DIAL,130045
PH4,PS,NORMAL,1FE2572G,SG0139ASMH_DBB11,DIAL,16771
PH4,PS,NORMAL,1FE2573G,SG0139ASMH_DBB11,DIAL,11128
